
Récapitulatif de mes puissances atteintes en W

Date et heure de relève par le distributeur;Puissance atteinte (W);Nature de la donnée
19:30:00;358;Réelle
19:00:00;602;Réelle
18:30:00;244;Réelle
18:00:00;248;Réelle
17:30:00;286;Réelle
17:00:00;224;Réelle
16:30:00;232;Réelle
16:00:00;1056;Réelle
15:30:00;310;Réelle
15:00:00;574;Réelle
14:30:00;1268;Réelle
14:00:00;1240;Réelle
13:30:00;3192;Réelle
13:00:00;140;Réelle
12:30:00;276;Réelle
12:00:00;728;Réelle
11:30:00;394;Réelle
11:00:00;368;Réelle
10:30:00;444;Réelle
10:00:00;752;Réelle
09:30:00;1012;Réelle
09:00:00;854;Réelle
08:30:00;944;Réelle
08:00:00;1726;Réelle
07:30:00;1856;Réelle
07:00:00;850;Réelle
06:30:00;646;Réelle
06:00:00;462;Réelle
05:30:00;1286;Réelle
05:00:00;478;Réelle
04:30:00;450;Réelle
04:00:00;1266;Réelle
03:30:00;446;Réelle
03:00:00;356;Réelle
02:30:00;296;Réelle
02:00:00;400;Réelle
01:30:00;1816;Réelle
01:00:00;1214;Réelle
00:30:00;420;Réelle

09/03/2022;;
00:00:00;488;Réelle
00:00:00;488;Réelle
23:30:00;572;Réelle
23:30:00;572;Réelle
23:00:00;742;Réelle
23:00:00;742;Réelle
22:30:00;1136;Réelle
22:30:00;1136;Réelle
22:00:00;972;Réelle
22:00:00;972;Réelle
21:30:00;564;Réelle
21:30:00;564;Réelle
21:00:00;514;Réelle
21:00:00;514;Réelle
20:30:00;368;Réelle
20:30:00;368;Réelle
20:00:00;1216;Réelle
20:00:00;1216;Réelle
19:30:00;2264;Réelle
19:30:00;2264;Réelle
19:00:00;230;Réelle
19:00:00;230;Réelle
