
Recapitulatif de mes puissances atteintes en W

Date et heure de releve par le distributeur;Puissance atteinte (W);Nature de la donnee
23:00:00;50;Reelle
22:30:00;50;Reelle
22:00:00;52;Reelle
21:30:00;50;Reelle
21:00:00;40;Reelle
20:30:00;40;Reelle
20:00:00;4;Reelle
19:30:00;0;Reelle
19:00:00;172;Reelle
18:30:00;282;Reelle
18:00:00;82;Reelle
17:30:00;38;Reelle
17:00:00;18;Reelle
16:30:00;0;Reelle
16:00:00;0;Reelle
15:30:00;30;Reelle
15:00:00;30;Reelle
14:30:00;30;Reelle
14:00:00;148;Reelle
13:30:00;40;Reelle
13:00:00;0;Reelle
12:30:00;8;Reelle
12:00:00;320;Reelle
11:30:00;322;Reelle
11:00:00;688;Reelle
10:30:00;400;Reelle
10:00:00;416;Reelle
09:30:00;390;Reelle
09:00:00;490;Reelle
08:30:00;934;Reelle
08:00:00;932;Reelle
07:30:00;1296;Reelle
07:00:00;502;Reelle
06:30:00;414;Reelle
06:00:00;418;Reelle
05:30:00;438;Reelle
05:00:00;452;Reelle
04:30:00;416;Reelle
04:00:00;1334;Reelle
03:30:00;1690;Reelle
03:00:00;1674;Reelle
02:30:00;1166;Reelle
02:00:00;432;Reelle
01:30:00;438;Reelle
01:00:00;420;Reelle
00:30:00;468;Reelle

02/05/2022;;
00:00:00;534;Reelle
23:30:00;556;Reelle
23:00:00;384;Reelle
22:30:00;1004;Reelle
22:00:00;1008;Reelle
21:30:00;540;Reelle
21:00:00;728;Reelle
20:30:00;350;Reelle
20:00:00;20;Reelle
19:30:00;14;Reelle
19:00:00;276;Reelle
18:30:00;0;Reelle
18:00:00;0;Reelle
17:30:00;20;Reelle
17:00:00;30;Reelle
16:30:00;30;Reelle
16:00:00;0;Reelle
15:30:00;0;Reelle
15:00:00;0;Reelle
14:30:00;0;Reelle
14:00:00;0;Reelle
13:30:00;0;Reelle
13:00:00;0;Reelle
12:30:00;244;Reelle
12:00:00;870;Reelle
11:30:00;338;Reelle
11:00:00;426;Reelle
10:30:00;398;Reelle
10:00:00;380;Reelle
09:30:00;374;Reelle
09:00:00;426;Reelle
08:30:00;706;Reelle
08:00:00;914;Reelle
07:30:00;1440;Reelle
07:00:00;494;Reelle
06:30:00;376;Reelle
06:00:00;378;Reelle
05:30:00;530;Reelle
05:00:00;1622;Reelle
04:30:00;1596;Reelle
04:00:00;1616;Reelle
03:30:00;1630;Reelle
03:00:00;1594;Reelle
02:30:00;1084;Reelle
02:00:00;368;Reelle
01:30:00;364;Reelle
01:00:00;360;Reelle
00:30:00;382;Reelle

01/05/2022;;
00:00:00;500;Reelle
23:30:00;466;Reelle
23:00:00;726;Reelle
22:30:00;990;Reelle
22:00:00;1004;Reelle
21:30:00;552;Reelle
21:00:00;154;Reelle
20:30:00;10;Reelle
20:00:00;0;Reelle
19:30:00;84;Reelle
19:00:00;0;Reelle
18:30:00;18;Reelle
18:00:00;0;Reelle
17:30:00;0;Reelle
17:00:00;0;Reelle
16:30:00;4;Reelle
16:00:00;0;Reelle
15:30:00;0;Reelle
15:00:00;0;Reelle
14:30:00;0;Reelle
14:00:00;92;Reelle
13:30:00;0;Reelle
13:00:00;2076;Reelle
12:30:00;2114;Reelle
12:00:00;24;Reelle
11:30:00;364;Reelle
11:00:00;346;Reelle
10:30:00;438;Reelle
10:00:00;536;Reelle
09:30:00;788;Reelle
09:00:00;716;Reelle
08:30:00;724;Reelle
08:00:00;402;Reelle
07:30:00;764;Reelle
07:00:00;402;Reelle
06:30:00;394;Reelle
06:00:00;388;Reelle
05:30:00;352;Reelle
05:00:00;366;Reelle
04:30:00;380;Reelle
04:00:00;1390;Reelle
03:30:00;2332;Reelle
03:00:00;1732;Reelle
02:30:00;1170;Reelle
02:00:00;1404;Reelle
01:30:00;50;Reelle
01:00:00;50;Reelle
00:30:00;52;Reelle

30/04/2022;;
00:00:00;50;Reelle
23:30:00;50;Reelle
23:00:00;52;Reelle
22:30:00;50;Reelle
22:00:00;52;Reelle
21:30:00;50;Reelle
21:00:00;44;Reelle
20:30:00;40;Reelle
20:00:00;14;Reelle
19:30:00;0;Reelle
19:00:00;0;Reelle
18:30:00;2;Reelle
18:00:00;0;Reelle
17:30:00;0;Reelle
17:00:00;0;Reelle
16:30:00;0;Reelle
16:00:00;0;Reelle
15:30:00;14;Reelle
15:00:00;62;Reelle
14:30:00;124;Reelle
14:00:00;0;Reelle
13:30:00;0;Reelle
13:00:00;0;Reelle
12:30:00;280;Reelle
12:00:00;326;Reelle
11:30:00;340;Reelle
11:00:00;348;Reelle
10:30:00;386;Reelle
10:00:00;442;Reelle
09:30:00;648;Reelle
09:00:00;864;Reelle
08:30:00;792;Reelle
08:00:00;382;Reelle
07:30:00;642;Reelle
07:00:00;372;Reelle
06:30:00;410;Reelle
06:00:00;372;Reelle
05:30:00;354;Reelle
05:00:00;342;Reelle
04:30:00;360;Reelle
04:00:00;708;Reelle
03:30:00;1632;Reelle
03:00:00;1608;Reelle
02:30:00;1940;Reelle
02:00:00;430;Reelle
01:30:00;936;Reelle
01:00:00;1036;Reelle
00:30:00;374;Reelle

29/04/2022;;
00:00:00;512;Reelle
23:30:00;574;Reelle
23:00:00;820;Reelle
22:30:00;1082;Reelle
22:00:00;570;Reelle
21:30:00;52;Reelle
21:00:00;50;Reelle
20:30:00;40;Reelle
20:00:00;12;Reelle
19:30:00;0;Reelle
19:00:00;28;Reelle
18:30:00;0;Reelle
18:00:00;2;Reelle
17:30:00;0;Reelle
17:00:00;0;Reelle
16:30:00;0;Reelle
16:00:00;0;Reelle
15:30:00;0;Reelle
15:00:00;82;Reelle
14:30:00;898;Reelle
14:00:00;70;Reelle
13:30:00;350;Reelle
13:00:00;510;Reelle
12:30:00;338;Reelle
12:00:00;920;Reelle
11:30:00;298;Reelle
11:00:00;410;Reelle
10:30:00;434;Reelle
10:00:00;420;Reelle
09:30:00;402;Reelle
09:00:00;456;Reelle
08:30:00;804;Reelle
08:00:00;826;Reelle
07:30:00;1372;Reelle
07:00:00;514;Reelle
06:30:00;394;Reelle
06:00:00;336;Reelle
05:30:00;364;Reelle
05:00:00;368;Reelle
04:30:00;346;Reelle
04:00:00;1396;Reelle
03:30:00;1624;Reelle
03:00:00;1616;Reelle
02:30:00;1186;Reelle
02:00:00;422;Reelle
01:30:00;416;Reelle
01:00:00;458;Reelle
00:30:00;50;Reelle

28/04/2022;;
00:00:00;52;Reelle
23:30:00;50;Reelle
23:00:00;52;Reelle
22:30:00;50;Reelle
22:00:00;50;Reelle
21:30:00;52;Reelle
21:00:00;48;Reelle
20:30:00;40;Reelle
20:00:00;0;Reelle
19:30:00;116;Reelle
19:00:00;0;Reelle
18:30:00;4;Reelle
18:00:00;22;Reelle
17:30:00;4;Reelle
17:00:00;0;Reelle
16:30:00;0;Reelle
16:00:00;0;Reelle
15:30:00;140;Reelle
15:00:00;238;Reelle
14:30:00;214;Reelle
14:00:00;444;Reelle
13:30:00;1044;Reelle
13:00:00;54;Reelle
12:30:00;150;Reelle
12:00:00;242;Reelle
11:30:00;358;Reelle
11:00:00;418;Reelle
10:30:00;428;Reelle
10:00:00;416;Reelle
09:30:00;416;Reelle
09:00:00;474;Reelle
08:30:00;640;Reelle
08:00:00;980;Reelle
07:30:00;1642;Reelle
07:00:00;300;Reelle
06:30:00;224;Reelle
06:00:00;204;Reelle
05:30:00;198;Reelle
05:00:00;218;Reelle
04:30:00;224;Reelle
04:00:00;298;Reelle
03:30:00;1484;Reelle
03:00:00;1538;Reelle
02:30:00;0;Reelle
02:00:00;0;Reelle
01:30:00;0;Reelle
01:00:00;0;Reelle
00:30:00;0;Reelle

27/04/2022;;
00:00:00;0;Reelle
23:30:00;0;Reelle
23:00:00;0;Reelle
22:30:00;0;Reelle
22:00:00;0;Reelle
21:30:00;0;Reelle
21:00:00;0;Reelle
20:30:00;0;Reelle
20:00:00;0;Reelle
19:30:00;1802;Reelle
19:00:00;0;Reelle
18:30:00;92;Reelle
18:00:00;0;Reelle
17:30:00;0;Reelle
17:00:00;0;Reelle
16:30:00;0;Reelle
16:00:00;0;Reelle
15:30:00;0;Reelle
15:00:00;26;Reelle
14:30:00;538;Reelle
14:00:00;518;Reelle
13:30:00;536;Reelle
13:00:00;276;Reelle
12:30:00;1344;Reelle
12:00:00;508;Reelle
11:30:00;248;Reelle
11:00:00;402;Reelle
10:30:00;714;Reelle
10:00:00;796;Reelle
09:30:00;482;Reelle
09:00:00;414;Reelle
08:30:00;624;Reelle
08:00:00;806;Reelle
07:30:00;1416;Reelle
07:00:00;442;Reelle
06:30:00;380;Reelle
06:00:00;344;Reelle
05:30:00;326;Reelle
05:00:00;352;Reelle
04:30:00;342;Reelle
04:00:00;1594;Reelle
03:30:00;2264;Reelle
03:00:00;1694;Reelle
02:30:00;1980;Reelle
02:00:00;332;Reelle
01:30:00;50;Reelle
01:00:00;50;Reelle
00:30:00;52;Reelle

26/04/2022;;
00:00:00;50;Reelle
00:00:00;50;Reelle
23:30:00;50;Reelle
23:30:00;50;Reelle
23:00:00;52;Reelle
23:00:00;52;Reelle
22:30:00;158;Reelle
22:30:00;158;Reelle
22:00:00;50;Reelle
22:00:00;50;Reelle
21:30:00;52;Reelle
21:30:00;52;Reelle
21:00:00;44;Reelle
21:00:00;44;Reelle
20:30:00;40;Reelle
20:30:00;40;Reelle
20:00:00;20;Reelle
20:00:00;20;Reelle
19:30:00;242;Reelle
19:30:00;242;Reelle
19:00:00;0;Reelle
19:00:00;0;Reelle
18:30:00;0;Reelle
18:30:00;0;Reelle
18:00:00;0;Reelle
18:00:00;0;Reelle
17:30:00;0;Reelle
17:30:00;0;Reelle
17:00:00;0;Reelle
17:00:00;0;Reelle
16:30:00;0;Reelle
16:30:00;0;Reelle
16:00:00;0;Reelle
16:00:00;0;Reelle
15:30:00;0;Reelle
15:30:00;0;Reelle
15:00:00;0;Reelle
15:00:00;0;Reelle
14:30:00;2;Reelle
14:30:00;2;Reelle
14:00:00;0;Reelle
14:00:00;0;Reelle
13:30:00;0;Reelle
13:30:00;0;Reelle
13:00:00;0;Reelle
13:00:00;0;Reelle
12:30:00;0;Reelle
12:30:00;0;Reelle
12:00:00;0;Reelle
12:00:00;0;Reelle
11:30:00;18;Reelle
11:30:00;18;Reelle
11:00:00;314;Reelle
11:00:00;314;Reelle
10:30:00;358;Reelle
10:30:00;358;Reelle
10:00:00;418;Reelle
10:00:00;418;Reelle
09:30:00;376;Reelle
09:30:00;376;Reelle
09:00:00;474;Reelle
09:00:00;474;Reelle
08:30:00;696;Reelle
08:30:00;696;Reelle
08:00:00;984;Reelle
08:00:00;984;Reelle
07:30:00;1312;Reelle
07:30:00;1312;Reelle
07:00:00;438;Reelle
07:00:00;438;Reelle
06:30:00;358;Reelle
06:30:00;358;Reelle
06:00:00;352;Reelle
06:00:00;352;Reelle
05:30:00;358;Reelle
05:30:00;358;Reelle
05:00:00;328;Reelle
05:00:00;328;Reelle
04:30:00;354;Reelle
04:30:00;354;Reelle
04:00:00;1220;Reelle
04:00:00;1220;Reelle
03:30:00;1622;Reelle
03:30:00;1622;Reelle
03:00:00;1594;Reelle
03:00:00;1594;Reelle
02:30:00;1064;Reelle
02:30:00;1064;Reelle
02:00:00;348;Reelle
02:00:00;348;Reelle
01:30:00;356;Reelle
01:30:00;356;Reelle
01:00:00;334;Reelle
01:00:00;334;Reelle
00:30:00;346;Reelle
00:30:00;346;Reelle

25/04/2022;;
00:00:00;344;Reelle
23:30:00;386;Reelle
23:00:00;622;Reelle
22:30:00;860;Reelle
